    "NO_MODIFICATION_ALLOWED_ERR_FILE": "파일을 수정할 수있는 권한이 없습니다.",	    "NO_MODIFICATION_ALLOWED_ERR_FILE": "파일을 수정할 수 있는 권한이 없습니다.",
    "FILE_EXISTS_ERR": "파일 또는 디렉터리가 이미 있습니다.",	    "FILE_EXISTS_ERR": "파일 또는 디렉토리가 이미 있습니다.",
    "DONT_SAVE": "저장하지 않",	    "DONT_SAVE": "저장하지 않음",
    "SAVE_FILE_AS": "다른이름으로 저장",	    "SAVE_FILE_AS": "다른 이름으로 저장",
    "BASEURL_ERROR_UNKNOWN_ERROR": "기본 URL 구문 분석하는 동안 알 수없는 오류가 발생했습니다",	    "BASEURL_ERROR_UNKNOWN_ERROR": "기본 URL의 구문을 분석하는 동안 알 수 없는 오류가 발생했습니다",
    "CANT_REMOVE_DEV": "dev 폴더 기능은 수동으로 제거해야합니다.",	    "CANT_REMOVE_DEV": "dev 폴더 기능은 수동으로 제거해야 합니다.",
**NOTE:** OSX에서 virtual environment를 실행하면, matplotlib 에러가 날 수 있습니다([이 문제에 관한 이슈](http://matplotlib.org/faq/virtualenv_faq.html)).  IPython 서버를 `assignment1`폴더의 `start_ipython_osx.sh`로 실행하면 이 문제를 피해갈 수 있습니다; 이 스크립트는 virtual environment가 `.env`라고 되어있다고 가정하고 작성되었습니다.로	**NOTE:** OSX에서 virtual environment를 실행하면, matplotlib 에러가 날 수 있습니다([이 문제에 관한 이슈](http://matplotlib.org/faq/virtualenv_faq.html)).  IPython 서버를 `assignment1`폴더의 `start_ipython_osx.sh`로 실행하면 이 문제를 피해갈 수 있습니다; 이 스크립트는 virtual environment가 `.env`라고 되어있다고 가정하고 작성되었습니다.
### Working in the cloud on Terminal	### Terminal에서의 가상 환경.
cd assignment2	cd assignment1
sudo pip install virtualenv      # This may already be installed	sudo pip install virtualenv      # 아마 먼저 설치되어 있을 겁니다.
virtualenv .env                  # Create a virtual environment	virtualenv .env                  # virtual environment를 만듭니다.
source .env/bin/activate         # Activate the virtual environment	source .env/bin/activate         # virtual environment를 활성화 합니다.
deactivate                       # Exit the virtual environment	deactivate                       # virtual environment를 종료합니다.
### Q1: Fully-connected Neural Network (30 points)	### Q1: Fully-connected 뉴럴 네트워크 (30 points)
**Compile the Cython extension:** 컨볼루션 신경망은 매우 효율적인 구현이 필요합니다. [Cython](http://cython.org/)을 사용하여 필요한 기능들을 구현해 두어서, 코드를 돌리기 전에 Cython extension을 컴파일해 주어야 합니다. `cs231n` 디렉토리에서 다음 명령어를 입력하세요.	**Cython extension 컴파일하기:** 컨볼루션 신경망은 매우 효율적인 구현을 필요로 합니다. 이 숙제를 위해서 [Cython](http://cython.org/)을 활용하여 여러 기능들을 구현해 놓았는데, 이를 위해 코드를 돌리기 전에 Cython extension을 컴파일해 주어야 합크니다. `cs231n` 디렉토리에서 아래 명령어를 실행하세요:
        컨볼루션 신경망: 구조, Convolution / Pooling 레이어	        컨볼루션 신경망: 구조, Convolution / Pooling 레이어들
들          레이어(층), 공간적 배치, 레이어 패턴, 레이어 사이즈, AlexNet/ZFNet/VGGNet 사례 분석, 계산량에 관한 고려 사항들	        레이어(층), 공간적 배치, 레이어 패턴, 레이어 사이즈, AlexNet/ZFNet/VGGNet 사례 분석, 계산량에 관한 고려 사항들
- **맞춤형 사용자 여정을 만드십시오.** 로그인 버튼을 제공하고 유료 결제 기반의 콘텐츠라면 [`amp-access`](https://www.ampproject.org/docs/reference/components/amp-access)를 사용하여 규칙과 제안을 구현하십시오. 	- **맞춤형 사용자 여정을 만드십시오.** 로그인 버튼을 제공하고 유료 결제 기반의 콘텐츠라면 [`amp-access`](https://www.ampproject.org/docs/reference/components/amp-access)를 사용하여 규칙과 제안을 구현하십시오.
- *인라인 정책*을 첨후하기. 인라인 정책은 여러분이 직접 손으로 작성한 사용자 지정 정책입니다.	- *인라인 정책*을 첨부하기. 인라인 정책은 여러분이 직접 손으로 작성한 사용자 지정 정책입니다.
